1,0.012917041778564453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.09180498123168945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.17416000366210938,20,2727,-3534,6072,1019,4225,2624,282,-3784,7627,-5904,0,2677,47,-1213,-291,2147
4,0.2750060558319092,133,1691,269,7314,-4039,-760,2278,4241,6946,1588,-6628,0,5053,138,-2417,-4991,-4723
5,0.32824182510375977,133,1691,269,7314,-4039,-760,2278,4241,6946,1588,-6628,0,5053,138,-2417,-4991,-4723
6,0.40489983558654785,133,1691,269,7314,-4039,-760,2278,4241,6946,1588,-6628,0,5053,138,-2417,-4991,-4723
7,0.4966118335723877,133,1691,269,7314,-4039,-760,2278,4241,6946,1588,-6628,0,5053,138,-2417,-4991,-4723
8,0.5903558731079102,-37,-64,3694,-2516,3800,745,-2708,6185,6532,7106,-3516,0,865,116,3560,7925,-6890
9,0.6869919300079346,62,5348,-5985,-6654,-6204,1418,-5146,-5780,1515,-776,-4148,24,-6538,-25,-5912,444,5387
10,0.7843139171600342,91,6001,5384,3624,3462,-1122,945,7140,-3969,-6555,6688,24,1106,63,4145,-2088,3643
11,0.8785610198974609,91,6001,5384,3624,3462,-1122,945,7140,-3969,-6555,6688,24,1106,63,4145,-2088,3643
